,fea_year,region,type,Total_Volume,AverageRevenue,Average_price_year
85,2015,SanDiego,conventional,26014334.44,25333919.5172,0.9738446153842866
86,2015,MiamiFtLauderdale,conventional,25073032.450000007,27758247.85700001,1.1070957576573472
87,2015,Atlanta,conventional,22898015.09,23971645.8966,1.0468875054182698
88,2017,Sacramento,conventional,22837660.899999995,31992454.4525,1.4008638884948155
89,2016,Sacramento,conventional,22737969.27,27576215.299999993,1.212782679602944
90,2018,NewYork,conventional,22061729.8,29364938.670999996,1.3310351879570204
91,2017,NorthernNewEngland,conventional,21724892.61,30321120.353200004,1.395685626507684
92,2016,NorthernNewEngland,conventional,21596688.55000001,25861710.4915,1.1974849955179814
93,2016,Philadelphia,conventional,21586466.910000004,28912803.432400003,1.3393948881466122
94,2015,Sacramento,conventional,21476497.379999995,25032646.320200004,1.1655832828453523
95,2016,Tampa,conventional,21435625.269999992,22438305.1329,1.0467763291376109
96,2017,Philadelphia,conventional,21081655.180000003,32441999.315,1.5388734441391236
97,2015,Philadelphia,conventional,20649740.150000002,26377465.594800003,1.2773751826024793
98,2017,Tampa,conventional,20280956.710000005,27571026.9884,1.3594539637671754
99,2015,NorthernNewEngland,conventional,19683517.499999996,21766860.385499995,1.105842001334365
100,2018,Houston,conventional,19612058.07,13702985.7739,0.6987020803727408
101,2017,Detroit,conventional,19471915.69999999,22550753.953499995,1.1581168643565978
102,2017,SouthCarolina,conventional,19328778.259999998,24442859.141700007,1.2645837627659768
103,2016,Orlando,conventional,18919237.07,19989093.398399998,1.0565485978341302
104,2017,Orlando,conventional,18487596.36,25167593.920199994,1.3613232044947132
105,2016,SouthCarolina,conventional,18241399.26,19220663.0647,1.05368359031795
106,2018,TotalUS,organic,18125853.990000002,28120891.6538,1.5514243725737966
107,2016,Detroit,conventional,18028896.47,19138853.001000002,1.0615654170984323
108,2018,DallasFtWorth,conventional,17844303.139999997,14196077.4444,0.7955523582525287
109,2018,PhoenixTucson,conventional,17822080.450000003,11920761.193,0.6688759612798179
110,2015,Detroit,conventional,17534962.57,18175639.270800002,1.0365371011339435
111,2015,Tampa,conventional,17030626.67,18046571.2039,1.0596539724336518
112,2017,LasVegas,conventional,16862583.01,17641642.214199997,1.0462004666626692
113,2016,LasVegas,conventional,16370471.72,15412974.0321,0.9415106843420881
114,2015,SouthCarolina,conventional,16043049.300000006,17056992.090600003,1.0632013759753263
115,2017,RaleighGreensboro,conventional,15450176.780000005,20585827.1662,1.332400752388025
116,2016,HartfordSpringfield,conventional,15314508.779999996,20898800.895099998,1.3646406290479793
117,2015,LasVegas,conventional,15160434.200000001,14568394.013700005,0.9609483357475345
118,2015,HartfordSpringfield,conventional,14980503.620000001,18429087.934700005,1.2302048317051175
119,2015,Orlando,conventional,14562708.909999996,16054290.005499998,1.1024247002888148
120,2017,HartfordSpringfield,conventional,14531075.850000001,22617759.252100006,1.556509613298867
121,2016,NewOrleansMobile,conventional,14463529.399999997,14140301.0024,0.977652176819304
122,2017,CincinnatiDayton,conventional,14221205.169999996,15008150.925,1.0553360805636984
123,2017,NewOrleansMobile,conventional,14095484.380000003,17273569.4707,1.2254683134699054
124,2016,RaleighGreensboro,conventional,14086747.5,16654631.624200001,1.1822907753688352
125,2016,CincinnatiDayton,conventional,13155099.879999993,12450509.158199996,0.9464397284530539
126,2017,RichmondNorfolk,conventional,13023942.499999998,15989262.0199,1.2276821722684972
127,2016,HarrisburgScranton,conventional,12756745.32,15486154.9526,1.2139581503066332
128,2018,SanFrancisco,conventional,12657378.780000001,14557966.2074,1.1501564787176257
129,2015,NewOrleansMobile,conventional,12534699.859999996,12326741.129399998,0.9834093569911775
130,2016,RichmondNorfolk,conventional,12512911.53,13221713.367100002,1.0566456364212784
131,2015,RaleighGreensboro,conventional,12503998.570000006,14241436.317900002,1.1389505715450505
132,2017,Nashville,conventional,12499006.589999998,12668164.192500006,1.0135336837597433
133,2017,HarrisburgScranton,conventional,12413931.229999999,17413758.013599996,1.4027593427871758
134,2017,West,organic,12241845.790000001,18765351.68380001,1.532885808701239
135,2017,Northeast,organic,11760003.740000002,21738911.2359,1.8485462859130006
136,2018,WestTexNewMexico,conventional,11599670.319999998,9889398.431599999,0.8525585778544782
137,2018,BaltimoreWashington,conventional,11546899.569999998,14788304.4376,1.2807164683428525
138,2016,West,organic,11522956.86,15524248.7951,1.3472452412791556
139,2018,Denver,conventional,11497065.760000004,11871506.462600002,1.0325683709579825
140,2015,HarrisburgScranton,conventional,11485388.92,13144382.9942,1.1444438743655536
141,2017,Charlotte,conventional,11412821.029999997,16014273.088899996,1.4031827053805994
142,2015,RichmondNorfolk,conventional,11354460.020000001,11872804.434400003,1.0456511726217697
143,2018,Chicago,conventional,11136345.68,15279595.851800002,1.3720475540949626
144,2015,CincinnatiDayton,conventional,11112325.629999997,10886413.7922,0.9796701567860734
145,2015,West,organic,10594013.97,15967037.0144,1.5071753784368476
146,2016,Charlotte,conventional,10244802.069999997,12614992.812800001,1.2313554450935338
147,2016,StLouis,conventional,10240062.560000002,9791856.595199998,0.9562301536564046
148,2016,Nashville,conventional,9963541.260000002,9614401.924199998,0.9649583088292442
149,2015,StLouis,conventional,9696862.729999999,11595456.389600005,1.1957946309507061
150,2017,Columbus,conventional,9688324.810000004,10685958.4742,1.1029727722557636
151,2015,GrandRapids,conventional,9658056.470000003,10230898.8131,1.0593123828670261
152,2018,MiamiFtLauderdale,conventional,9632938.54,11629007.905299999,1.2072129243855843
153,2017,Indianapolis,conventional,9616102.33,11457771.912500003,1.1915193411320533
154,2016,Jacksonville,conventional,9530662.869999997,9606924.0235,1.008001663109924
155,2015,Charlotte,conventional,9290931.7,10660431.6188,1.147401785205245
156,2016,GrandRapids,conventional,9042603.919999998,11068065.604899997,1.2239909768048316
157,2017,Jacksonville,conventional,9012489.870000001,12112469.7196,1.3439648636853334
158,2016,Indianapolis,conventional,8974886.679999998,9845348.284799997,1.0969885900330942
159,2017,GreatLakes,organic,8928083.939999998,13238890.771400003,1.4828367273840848
160,2016,California,organic,8700337.950000001,13556855.511300001,1.558198726211549
161,2016,Columbus,conventional,8638004.070000002,8853287.6019,1.024922832885398
162,2017,StLouis,conventional,8611733.28,11533362.152499994,1.339261421308208
163,2017,GrandRapids,conventional,8482517.479999999,12509404.563000001,1.4747278260840087
164,2017,California,organic,8417151.479999999,14943250.507999998,1.7753334419021292
165,2015,Nashville,conventional,8363840.969999999,8423005.504900001,1.007073847423955
166,2018,Boston,conventional,8279081.640000001,10882601.2934,1.3144696195313759
167,2015,Indianapolis,conventional,8082615.43,8870638.762800004,1.0974960815128136
168,2018,Portland,conventional,8064254.819999999,8788500.3872,1.0898093603644337
169,2018,Atlanta,conventional,8035440.31,8033642.9449000005,0.9997763202723612
170,2017,Roanoke,conventional,7634560.290000001,9001891.1824,1.1790975302390334
171,2015,Columbus,conventional,7585219.2299999995,7623047.961500001,1.0049871638977008
172,2017,BuffaloRochester,conventional,7350424.160000002,10619350.3584,1.4447261990932503
173,2016,Roanoke,conventional,7257756.18,7439297.069500002,1.025013362945461
174,2017,SouthCentral,organic,7104671.459999999,9500325.799000002,1.337194246417695
175,2015,Jacksonville,conventional,7067456.92,7716277.566399999,1.0918039761323368
176,2017,Midsouth,organic,7047686.31,12125308.734999998,1.7204665760726796
177,2018,Seattle,conventional,6996900.2,9103501.219399998,1.3010763279716349
178,2016,BuffaloRochester,conventional,6986660.62,9043956.7107,1.294460573168645
179,2018,Sacramento,conventional,6760536.17,7677079.5086,1.1355725811611181
180,2018,Tampa,conventional,6541063.61,7765537.027500001,1.1871979070235643
181,2018,SanDiego,conventional,6437660.890000001,7038845.8713,1.0933856243086453
182,2016,GreatLakes,organic,6386889.460000002,8925527.092500001,1.3974763691150525
183,2015,Roanoke,conventional,6371645.330000001,6769508.110900001,1.0624427067568747
184,2017,Pittsburgh,conventional,6365600.34,7895910.943100003,1.2404031860881801
185,2018,NorthernNewEngland,conventional,6335765.319999999,8006234.8538,1.2636571036693638
186,2018,Philadelphia,conventional,6161832.5600000005,7863949.169000002,1.2762354530776152
187,2016,SouthCentral,organic,6096712.579999999,7119612.466699998,1.1677789256550453
188,2015,California,organic,5969559.8,9307001.574299999,1.5590766967942928
189,2018,Orlando,conventional,5806509.319999999,6837741.6258000005,1.1775993542709067
190,2015,BuffaloRochester,conventional,5742221.750000001,8022047.181200001,1.3970284552664656
191,2018,Detroit,conventional,5711274.899999999,5761323.757099999,1.0087631672395947
192,2018,SouthCarolina,conventional,5635253.09,6390357.1893,1.1339964837852563
193,2016,Northeast,organic,5512233.2,10358284.602599997,1.8791448450693262
194,2016,Pittsburgh,conventional,5275553.609999999,6449124.389100002,1.2224545262653492
195,2016,Midsouth,organic,5220775.130000001,7868230.162,1.5070999930234494
196,2016,Albany,conventional,5171564.06,6849349.098600001,1.3244250712423742
197,2017,Albany,conventional,5076262.79,7682899.4341,1.5134952132964732
198,2017,Louisville,conventional,5044164.04,5923452.778299999,1.1743180299703337
199,2017,Spokane,conventional,4951921.42,5629280.6412,1.1367871506329357
200,2017,LosAngeles,organic,4950673.170000001,7543075.328399999,1.523646395021467
201,2016,Louisville,conventional,4938371.74,5085782.680299999,1.0298501101296191
202,2016,LosAngeles,organic,4891080.720000001,5972349.8017000025,1.2210695638856686
203,2016,Spokane,conventional,4848865.55,4830030.462800001,0.9961155682693658
204,2017,NewYork,organic,4618447.149999999,9118534.806800004,1.9743724482805882
205,2017,Boise,conventional,4614182.350000001,5634011.625399998,1.2210205835059809
206,2018,RaleighGreensboro,conventional,4577452.25,5352874.3108,1.169400360386064
207,2016,Boise,conventional,4517343.280000001,3864788.7014,0.8555446114779214
208,2015,Pittsburgh,conventional,4449085.010000001,5457538.660699999,1.2266654038826734
209,2018,LasVegas,conventional,4369766.430000001,4554938.6582,1.0423757725192648
210,2018,HartfordSpringfield,conventional,4235135.83,5771063.964799999,1.3626632524794369
211,2015,Louisville,conventional,4197148.38,4334214.765299999,1.0326570263641714
212,2015,GreatLakes,organic,4111662.3800000013,6384819.601799999,1.5528560012264425
213,2017,Southeast,organic,4097434.8,6947106.195699998,1.695476934910593
214,2018,Northeast,organic,4072061.0200000005,6544612.4357,1.6071990089431418
215,2015,Spokane,conventional,4006951.630000001,4356422.359800001,1.0872161089201868
216,2018,NewOrleansMobile,conventional,3973777.6999999997,4008615.4173999997,1.0087669014298408
217,2015,Albany,conventional,3962854.180000001,4637022.669800001,1.1701219523045887
218,2018,RichmondNorfolk,conventional,3793729.7100000004,4037542.9141,1.0642674156404253
219,2015,Boise,conventional,3686059.15,3852604.0456000003,1.045182371964921
220,2018,HarrisburgScranton,conventional,3653972.1699999995,4376146.9387,1.1976410150655308
221,2017,Syracuse,conventional,3530832.24,5231184.0168,1.48157251923133
222,2015,Midsouth,organic,3516756.06,5488257.702,1.5606023302054108
223,2018,Nashville,conventional,3417003.6700000004,3230502.7031000005,0.9454197346823453
224,2018,Charlotte,conventional,3414318.96,4171334.0036,1.2217177283284628
225,2018,CincinnatiDayton,conventional,3395467.4499999993,3210284.7973,0.9454618088887882
226,2017,Plains,organic,3326803.330000001,5662442.0254999995,1.7020669585238144
227,2016,Syracuse,conventional,3320257.270000001,4496208.396900002,1.3541747013176484
228,2015,SouthCentral,organic,3200055.169999999,4512131.2348,1.4100167013058094
229,2018,West,organic,3059749.5900000003,4859201.0352,1.588104154366436
230,2016,Southeast,organic,3002721.2199999997,4449280.0894,1.481749307849498
231,2015,Northeast,organic,2881798.1300000004,5372545.222700001,1.8643031122724756
232,2018,Indianapolis,conventional,2778917.99,2698014.3044999996,0.970886623573947
233,2018,Columbus,conventional,2694669.63,2561720.8129000003,0.9506622943236275
234,2015,Syracuse,conventional,2662173.1999999997,3547078.3223000006,1.3323995306916925
235,2018,Jacksonville,conventional,2655423.89,3104526.3042999995,1.1691264494498463
236,2018,GreatLakes,organic,2648051.5100000007,3701806.533,1.3979359989866658
237,2017,Seattle,organic,2460974.9200000004,4005848.297800001,1.627748525694037
238,2016,Plains,organic,2457126.97,3986730.785,1.6225172055313037
239,2018,GrandRapids,conventional,2454813.93,3191363.6775999996,1.3000430047258202
240,2018,StLouis,conventional,2445717.03,2830126.404,1.1571765536587855
241,2018,Roanoke,conventional,2388789.4499999997,2358218.0726,0.987202146509815
242,2015,LosAngeles,organic,2312981.5200000005,3225797.4079000005,1.3946490190289111
243,2018,California,organic,2297762.88,3969188.3758000005,1.727414264695581
244,2018,Midsouth,organic,2195223.3800000004,3378603.8496999997,1.5390706387702555
245,2016,Seattle,organic,2092977.4499999997,3039108.9337,1.4520504908927712
246,2017,Chicago,organic,2011627.92,3652330.0430000005,1.8156091425694671
247,2016,Denver,organic,1995345.62,2063600.1956999996,1.0342068937911615
248,2018,BuffaloRochester,conventional,1959918.0999999996,2441459.8598999996,1.2456948379118495
249,2015,Denver,organic,1886084.2999999996,2393959.2717,1.269274799488019
250,2015,Seattle,organic,1865368.2700000003,3083844.815800001,1.6532096451924747
251,2017,Denver,organic,1852421.1100000006,2283730.8009,1.2328356595439574
252,2016,NewYork,organic,1815066.99,3877220.490399999,2.1361307939383543
253,2017,Houston,organic,1782941.9099999997,2219045.5305000003,1.2445977729582904
254,2017,Portland,organic,1769523.45,2585810.4097000007,1.461303273319153
255,2018,Pittsburgh,conventional,1741665.9600000002,1974648.2613999997,1.1337697967065967
256,2015,Portland,organic,1721549.83,2515751.507899999,1.4613294742098746
257,2018,SouthCentral,organic,1717025.06,2405273.0413,1.4008374701881172
258,2017,BaltimoreWashington,organic,1703091.7599999993,3011969.2665999997,1.7685302326869345
259,2016,Portland,organic,1686404.9800000004,2243367.8496999997,1.3302663810326265
260,2015,Plains,organic,1671769.8199999998,2997467.929700001,1.7929908135917907
261,2018,NewYork,organic,1667525.37,2800198.6609000005,1.6792540079315257
262,2016,Chicago,organic,1630771.5400000003,2794227.315099999,1.7134388518332853
263,2015,Southeast,organic,1623692.5999999999,2805823.9516,1.7280512035344622
264,2018,Albany,conventional,1489930.4400000002,1967261.2358000004,1.3203711951814343
265,2018,Louisville,conventional,1425141.0600000003,1475559.1145,1.0353775888682903
266,2018,Southeast,organic,1315807.28,1920264.0822000003,1.4593809529614399
267,2016,DallasFtWorth,organic,1297630.9099999997,1449212.5051000006,1.1168141063316694
268,2017,DallasFtWorth,organic,1273586.5099999998,1758844.6071999997,1.3810169889440804
269,2016,Houston,organic,1248070.19,1363052.243,1.0921278738337625
270,2016,SanFrancisco,organic,1237904.51,2825430.6586,2.2824302163662042
271,2018,LosAngeles,organic,1231539.7400000002,2039053.4201999998,1.6556943750755453
272,2017,Philadelphia,organic,1189589.67,2135015.7465000004,1.7947497362683054
273,2017,Boston,organic,1187221.1700000004,2179621.7357000005,1.8359020128490464
274,2018,Boise,conventional,1182955.72,1381156.7641999999,1.1675473061662864
275,2015,SanFrancisco,organic,1175777.4999999998,2082461.9278000002,1.7711360591608536
276,2015,Chicago,organic,1173108.36,1895811.5773999998,1.6160583642929625
277,2018,Spokane,conventional,1169090.89,1350934.4641,1.1555427175555189
278,2017,SanFrancisco,organic,1046373.1900000002,2509617.9239999987,2.398396621763597
279,2017,Detroit,organic,1040508.4899999996,1362262.8818000006,1.3092280311907893
280,2018,Syracuse,conventional,978729.93,1227588.8145,1.2542671648960404
281,2016,BaltimoreWashington,organic,951026.5999999997,1716123.5972999993,1.8044958966447413
282,2016,WestTexNewMexico,organic,944571.55,1405336.3573,1.4878029698226671
283,2018,Seattle,organic,944194.15,1353667.4015,1.433674844839909
284,2017,NorthernNewEngland,organic,935398.5700000002,1599700.8811999997,1.7101810206958081
285,2017,CincinnatiDayton,organic,925472.7300000001,1178527.7951,1.2734333026754876
286,2017,WestTexNewMexico,organic,919131.3900000001,1433126.9087,1.5592187627277094
287,2015,NewYork,organic,889531.89,1799986.7575,2.023521334912456
288,2016,Detroit,organic,878562.0300000005,1034607.8678000001,1.177615048763261
289,2016,CincinnatiDayton,organic,865766.4999999994,1019293.9787,1.177331276620198
290,2017,Atlanta,organic,841993.33,1345950.4799999997,1.5985286724302197
291,2018,Plains,organic,820173.1399999999,1315829.6713999999,1.6043315822315274
292,2016,SanDiego,organic,797965.01,1258015.3138999997,1.576529419378927
293,2017,HartfordSpringfield,organic,791528.1700000002,1700159.8665999996,2.147946126288846
294,2017,SanDiego,organic,790312.11,1511991.6845999996,1.9131576822225331
295,2017,HarrisburgScranton,organic,730386.75,1242315.6367000004,1.7009011139646226
296,2015,BaltimoreWashington,organic,702222.1000000001,1079953.473,1.5379086944144877
297,2017,PhoenixTucson,organic,694472.05,1166528.6253,1.6797344476282376
298,2015,CincinnatiDayton,organic,643850.3699999999,923536.2013999999,1.4343956988018818
299,2017,SouthCarolina,organic,640188.6399999997,1069976.6042,1.6713458148835638
300,2017,RichmondNorfolk,organic,622981.4500000001,965036.1477,1.5490608070272396
301,2018,BaltimoreWashington,organic,612003.43,875170.9024999999,1.4300097999450752
302,2015,DallasFtWorth,organic,610695.9199999998,838081.1908000002,1.372337956343315
303,2016,Boston,organic,610001.3899999998,988181.7441999998,1.619966381060214
304,2016,PhoenixTucson,organic,594358.0800000001,1007272.0869999998,1.6947226274773612
305,2017,RaleighGreensboro,organic,578471.0200000001,1277782.1525,2.208895706650957
306,2016,Atlanta,organic,572068.8499999999,777925.2067999999,1.359845422102602
307,2015,SanDiego,organic,571391.5800000002,865538.3965,1.5147902538220808
308,2017,LasVegas,organic,571249.6699999999,908681.9428000003,1.5906914095897866
309,2015,PhoenixTucson,organic,563956.3400000001,904601.2715999997,1.6040271337316636
310,2015,Houston,organic,563466.8200000002,732125.5832,1.2993233269706985
311,2017,Columbus,organic,551887.96,738851.4442000001,1.3387707247681218
312,2016,NorthernNewEngland,organic,545119.45,860365.8209000003,1.5783069580437836
313,2016,LasVegas,organic,536541.8400000001,865064.8723999996,1.6122971367899277
314,2016,Nashville,organic,535633.6399999999,613808.2377000002,1.1459478865069048
315,2016,Philadelphia,organic,521629.51,1014133.4660999998,1.9441642902833465
316,2015,Sacramento,organic,504040.5,816751.3798000002,1.62040824060765
317,2017,Pittsburgh,organic,483028.32,698081.3631,1.445218290927538
318,2017,Charlotte,organic,482769.37,1019495.5612999998,2.111765212652161
319,2016,RaleighGreensboro,organic,481106.78999999986,828544.3565,1.722163090859724
320,2018,Chicago,organic,477885.92999999993,812198.7509,1.699566151487239
321,2015,WestTexNewMexico,organic,470250.99,807173.5373999999,1.7164738715382608
322,2016,SouthCarolina,organic,461458.74000000005,698446.6474,1.513562507018504
323,2017,Roanoke,organic,451051.52,651169.6272,1.4436701758592898
324,2015,Detroit,organic,444616.77,703266.3391999999,1.5817359727569429
325,2017,Nashville,organic,439638.24000000005,591794.7898000001,1.3460948933832508
326,2016,Roanoke,organic,429060.3499999998,514655.1626999999,1.1994936439594108
327,2016,RichmondNorfolk,organic,425114.18999999994,559917.8280000002,1.3170998314594022
328,2016,Columbus,organic,421462.45999999996,535386.8323999998,1.2703072828835096
329,2015,NorthernNewEngland,organic,411108.88,751611.0266999999,1.8282529598971444
330,2015,Roanoke,organic,407167.24000000005,515012.786,1.2648679348564487
331,2018,Philadelphia,organic,405404.36,634754.3445000001,1.5657314205994237
332,2016,StLouis,organic,404413.04,516303.78309999994,1.2766744195488848
333,2017,BuffaloRochester,organic,389881.5900000001,618080.5528,1.5853032527132143
334,2017,Indianapolis,organic,385098.7699999999,538700.0885000002,1.3988621373680323
335,2016,Sacramento,organic,385061.11,782729.2764999999,2.032740404503586
336,2016,HartfordSpringfield,organic,383441.02,884708.6788999999,2.3072875168650446
337,2015,LasVegas,organic,381994.4599999999,644214.1046999999,1.6864488157760196
338,2017,StLouis,organic,376389.22,655218.9516000001,1.74080158725056
339,2018,Houston,organic,370459.04,504333.8585,1.3613754937657885
340,2016,HarrisburgScranton,organic,368078.63,661014.7288000002,1.7958519591316675
341,2018,Boston,organic,357924.31999999995,649334.0518,1.8141657761618437
342,2017,Sacramento,organic,354767.94000000006,740993.3807999998,2.088670641433946
343,2018,Denver,organic,348287.64,522445.6406,1.500040715197358
344,2016,Charlotte,organic,341918.9299999998,593306.1230000001,1.7352245545457237
345,2015,Atlanta,organic,333683.03,543816.2864,1.6297391161905954
346,2018,Portland,organic,333535.6400000001,553833.302,1.660492120122455
347,2018,DallasFtWorth,organic,327442.19,457220.61779999995,1.3963399701180839
348,2018,SanFrancisco,organic,325880.49,602305.9628,1.8482418594620378
349,2017,Orlando,organic,323805.6699999999,629636.8099000001,1.944489761096525
350,2015,RaleighGreensboro,organic,313335.7199999999,532727.0145,1.700179649163524
351,2018,Detroit,organic,311682.45,399534.5873,1.2818642413135548
352,2018,NorthernNewEngland,organic,300403.23,457651.1558,1.5234561752215514
353,2015,Nashville,organic,298075.18000000005,443983.4980999999,1.4895017361056355
354,2015,RichmondNorfolk,organic,296618.6999999999,421652.4006,1.4215300673895481
355,2016,Orlando,organic,295549.73,477249.47890000005,1.6147857042535618
356,2017,GrandRapids,organic,271940.17999999993,399049.69899999985,1.4674172055045338
357,2017,Tampa,organic,269180.3899999999,481839.2516,1.7900236031309718
358,2015,Columbus,organic,264562.89,367214.86379999993,1.3880059436907417
